,Input.category,Answer.complex_query,Answer.simple_query
18,jewelry,Short diamond necklace with silver chain less than $1000 for anniversary,Gold bracelet
19,jewelry,Pure gold earring with a pendant and a matching pattern necklace,silver bracelet less than $500
20,jewelry,"The price of platinum round cable chain 3.88mm was $1,800 in Porcello's Jeweler.",The 3 stone drop diamond pendant $6000
21,jewelry,24ct gold hoops earrings for her $450,silver earrings
22,jewelry,24 karat diamond ring worth millions,Golden anklets worth $500
23,jewelry,ancient amulet probably no curses,simple gold necklace ropechain
24,jewelry,ring,"ring,earring bracelet,watch"
25,jewelry,wedding bracelet for him silver or gold $200,Wedding neckale more than $2000
26,jewelry,anniversary rings for her silver or gold $400,wedding chain less than $3000
27,jewelry,Diamond wedding ring for women costing 1 million USD,Gold necklaces for women
28,jewelry,any guarantee for neclace,what is the price for bangle
29,jewelry,24k gold and 10k plated gold post earrings $200,bracelets on sale
30,jewelry,ruby gold diamond and emerald watch for him $3500 or under,sapphire bracelet under $10000
31,jewelry,"Ladies, engagement ring, white gold with diamonds, under £1500, Brand New","Engagement ring, white gold, under £500"
32,motorcycles,Engine: 999 cc (61.0 cu in) liquid-cooled 4-stroke 16-valve DOHC inline-four,BMW motorcycle  S 1000 XR
33,motorcycles,Used 5000 honda,Used honda 94 5000
34,motorcycles,Ducati custom low miles price negotiable,Harley black original parts
35,motorcycles,YAMAHA dominar less than 120000 sale,HERO motor cycle sales more in 2021
36,motorcycles,1940s Indian chief motorcycle original blue and chrome,2021 harley davidson trike
37,motorcycles,Bmw Explorer 2020 with cases 80000 miles sale,Bmw Explorer 250cc
38,motorcycles,bejaj dominar 2017 less than 130000 sale,hona motorcycle 500cc
39,motorcycles,"ducati xdiavel 2018 less than 20,000 sale",harley davidson motorcycle 2009
40,motorcycles,"manufacturer year, performance, price, model name, km","model name, price, performance, fuel storage"
41,motorcycles,honda motorcycle   56 km driven,motorcycle company honda
43,motorcycles,new model or old model is this,what is the color of motorcycle
44,motorcycles,"Honda CRF, 1000cc, less than 30000, black, 2016+",honda 600cc Blue
45,motorcycles,BMW R nine T pure 2019 less than 140000 sale,yamaha motorcycle 400cc
46,motorcycles,Hayabusa in red color done less than 10000 km and below 10000 USD,1000 cc used superbikes
47,motorcycles,2018 honda motorcycle one owner $40000 or less with 20000 km or less,2015 harley davidson 25000 km or less
48,motorcycles,honda dominar 2017 less than 150000 sale,yamaha motorcycle 500cc
49,motorcycles,less than 126870 sale,Royal enfield
2,housing,brooklyn loft no roommates disinterested neighbors,chesterfield duplex no roommates
5,housing,"Everett Washington townhouse $500,000 or under 3 bedroom 2 bathroom at least 7 rooms",Hillsboro apartment 2 bedroom
6,housing,near an airport apartment built in 1992 9000 per month with single bedroom and a bathroom,bungalow built in 1984 with 2 bedrooms and 1 bathroom
7,housing,"Southwark,  Newington, 5 rooms, apartment built in the 1968 , with 2 bedrooms and two bathrooms","Wandsworth, london street, 4 rooms , hose"
10,housing,city apartment close to shopping center newly remodeled with 1 bedroom,Suburb townhouse 2500 per month 3 bedrooms
11,housing,how many rooms in this house,where is located
13,housing,Dallas apartmemt oak cliff neighborhood with 2 bedrooms 1 bathroom built after 2000,3 bedroom house 2 bathrooms dallas TX
14,housing,1 bedroom apt pets allowed within 20 miles of Washington D.C. area,2 bed apt Atlanta GA
15,housing,"New build, 1 Bed flat in London, under £1000 per month, close to train station","1 bed, flat, London,"
17,housing,1970s era house with 5 bedrooms and 3 bathrooms with a car 5000 per month,4 bedroom 2 bathroom apartment
23,jewelry,Mothers day necklace with purple gemstones and gold $1000,Birthstone ring
24,jewelry,Valentine necklace for her rose gold or gold $150,birthday bracelet less than $50
25,jewelry,"Childs, Crucifix necklace on gold chain, silver or gold, less than £50, Brand new",Crucifix necklace  on gold chain
28,jewelry,how many jewellery set do you have,how much rate for earring
30,jewelry,The world leader in ethically sourced jewelry. Discover the Brilliant Earth difference. We offer both in-person and virtual appointments to help you find the perfect ring. Lifetime Warranty. Find Your Ring Size. Ethical Fine Jewelry. Recycled Precious Metals.,"custom design the perfect wedding ring. Shop Now! Browse our handcrafted womens wedding rings. All made to order. Buy Online PickUp InStore. 30 Day Returns & Exchange. Services: Easy Transactions, Quick Response, No Questions"
31,jewelry,pink diamond necklace and bracelet set  real gold $2500 or over,emerald choker under $5000
33,jewelry,Gold bracelet with white stone under $50,Gold bracelet
36,jewelry,For 100 or less I am looking for a nice bracelet as a gift for my wife,I am inquriring about a wedding ring that is rose gold and bright nice diamonds. Is this available at Tiffany & Co.
37,jewelry,wedding ring third try real gold,engagement ring never used
41,jewelry,ANNIVERSARY BRACELET FOR HER GOLD $1000,WEDDING RINGS LESS THAN $1500
47,motorcycles,Black Ducati low miles custom trim,Harley Davidson handlebar tassels
49,motorcycles,Honda dominar 2020 more than 120000 sale,Bajaj motorcycle price $20000
50,motorcycles,New honda motorcycle 2019 black less than 10000,Red motorcycle
53,motorcycles,how many kilometers per 1 litre,what is the price
55,motorcycles,"Harley Davidson Low Rider year  2000 or newer with under 20,000km on the clock at $5000 or under.",Yamaha 125cc for under $500
57,motorcycles,"Hero MotoCorp bikes - Hero Motocorp Ltd. Action, adventure, and excitement. It's time to #MakeNewTracks with the new #Xpulse2004V, made with a new 4 valve engine, more power, more torque and much more. #HeroMotoCorp",Amit Motors - Hero MotoCorp (Formerly Hero Honda Motors Ltd.)
60,motorcycles,yamaha 700 2015 less than 1500,kawasaki motorcycle 500 cc
62,motorcycles,honda,bajaj motorcycle
64,motorcycles,"Honda YBR, 2012, Red, 1 owner, less than 100000","Honda YBR, 2012"
0,car,Honda sedan $15000,Used car
4,car,"ford crab less than 100,000 miles and under $16000",ford used under 20000
8,car,Hoda sedan more than 10 colours and less than 10 colours,Toyato price upper $20000
9,car,black Subaru under 150000 miles used like new 2000 or later,white Toyota under $15000
10,car,how many milege for this model,what is car company name
14,car,light grey honda pilot all wheel drive 2010 - 2015,honda pilot dark grey
17,computer science jobs,Data Analyst Remote Contract $50k evening shift,Database Analyst Tampa Florida
18,computer science jobs,Data Scientist Manager Microsoft $140K 5 years experience in Paris France,Senior Scientist $140K Kentucky
22,computer science jobs,what is the nature of work for  Data Scientist Manager,what is salary for senior scientist
23,computer science jobs,data science job private company $100K or $150K in newyork,junior data scientist $88K North Dakota
32,furniture,queen size bed with pink metal frame and pink or white vanity under $2500,green table under $500
33,furniture,"new shower , 120 $, 70 by 120 meters, porcelain","bed, 220 by 200 meters, solid wood"
36,furniture,is there double or single bed,what is the color for furniture
39,furniture,oak queen bed blonde stain headboard and footboard,queen bed no footboard
42,furniture,New matress queen size and must have 7 inch memory foam matteress with cooling gEL and oak stands,new bed oak and memory foam
1,housing,Chicago area house under 200k built after 2010 3 bath,Naperville apartment 2 bed
2,housing,Sydney four bedroom two bath house,monthly apartment rental
3,housing,plano apartment close to city center built after 1980 with 2 bathroooms,plano apt 5000 per month single bed
4,housing,melbourne city center 2 bedrooms,nebtleigh 8000 month
5,housing,Two bedroom two bath apartment new bill 1300 a month,Queen size bed 300 per month
6,housing,Luxury house with 3 bedrooms and 2 baths $20000,House for rent
7,housing,4 bedroom 2 bath family home $500k Springfield suburbs,3 bedroom apartment Milwaukee
8,housing,"East Rochester duplex two beds, two bath $1500",Rochester apt two bedrooms
9,housing,"golden co duplex, yard, garage and 2 bathrooms less than 3000",4 bedroom house built in 1990 denver co
10,housing,Where is the closest apartment to the shopping center?,Can I get a cheap bed for my apartment?
11,housing,boston apartment 4 bedroom 4 bathroom built after 1960,suburb house 4 bedroom
12,housing,downtown Bridgeport 3 bedroom house 10 years old $250000,2 bedroom house 10 years old
13,housing,Dallas house less than 40 mile commute built after 2000 attached garage,Chicago wharf 2BR apartment
14,housing,"home, family, roomy, centered, modern","small, tiny, budget, single"
15,housing,san bernardino studio apt close to airport 1 person,studio apt 1 person
16,housing,housing built after 1975 with 4 bedrooms 2 bathrooms,housing authority apartment based off income
17,housing,bridgeview apartments close to mall 2 bedroom,apartment 457
18,housing,Palmdale apartment close to antelope valley mall 3 bedroom,Littlerock apt 800 per month
19,housing,what is the nearest landmark for this apartment,how many number of bedrooms available here
20,housing,"melbourne, close to city center, apartment, 2 bathrooms, built after 1980",nebtleigh apt 8000 per month single bed
21,housing,city center with 3 bedrooms,car rent monthly 10000
22,housing,san francisco near university built after 2000 3 bathrooms,brooklyn apt 10000 per month 2 bedrooms
23,housing,melbourne apartment close to city center built after 1989 with 3 bathrooms,nebtleigh apt 9000 per month single bed
24,housing,Newer studio apartment in business district under $1500 a month,One bedroom under $1000
25,housing,"oak park or chicago apartment near lake avenue, 2016 or newer, with 2 or 3 bedrooms.",3 rooms 2021 apartment
26,housing,2 bedroom 2 bath condo downtown not car dependent,2 bedroom 2 bath
27,housing,melbourne apartment close to village center built befor 1985 with 1 bathroom,nebtleigh apt 7000 per week single bed
28,housing,old and beside a potentially loud busy old building,move back home with yoyr parent's
29,housing,"Sevierville, house, close to town center,  built after 2000 with 4 bedrooms","Sevierville, house, four bedroom"
30,housing,"house should have  attached bathroom and much more,",nebtleigh apt 1000 per month double bed
32,housing,Manhattan apartment near times square 2 bed 1 bath under $6000 month,Westport apt 1400 per month single bedroom
33,housing,New house with 2bedrooms 1bathroom near to bussiness school  well developing city,new apartment with 3bedrooms and carparking
35,housing,3 bedroom 2 bath house with acreage built after 2000,2 bedroom apt less then 1800
36,housing,Sheppard Avenue East apartment with 5 bedrooms,"1 BHK apt 18,000  per month."
37,housing,Looking to buy a large mansion and Estate of around  30 acres near London at less than 10 million pounds,Wanted a triple bedroom house in Bangkok
38,housing,"new york apartment close to stores, 2 bedroom, 1 bathroom, with car garage",150 font apt 1000 per month 1 bed
39,housing,Washington D.C. mansion near 1600 Pennsylvania Avenue built in 1800sat least 4 bedrooms and at least 3 bathrooms,Tempe apartment $1500 per month or less
40,housing,jnkjhjg,gvchgcgfc
41,housing,AFTER 1990 WITH 3 BATHROOMS,7000 PER MONTH IS SINGLE BED
42,housing,Alexan CityCentre apartments now leasing,12 Best Bed Frames of 2021
43,housing,single family home 3 bedroom with garage in east school district,3 bedroom town home
44,housing,"Apartment near Monash University,bulit in  early 2000's with single bedroom and two bathrooms,high-rise apartment with beautiful view","Single bedroom apartments in sydney, rent $300"
45,housing,apartment built in less than 2 years with  bed room and 2 bathrooms per month $9000,apartment with 3 bed rooms and 2 bath rooms
47,jewelry,simple necklace unisex gold $300,simple necklace gold
48,jewelry,New anniversary rings gold 300,Brand new wedding bands less than 3000
49,jewelry,bracelet silver or gold 100,rings <1000
50,jewelry,Limited edition cubic ring $7000,Pink ring set
51,jewelry,Wedding rings diamonds 1ct white gold $2000,silver necklace butterfly $50
52,jewelry,promise ring for her silver $100,wedding rings more than $1000
53,jewelry,rose gold anklets for her $200,necklaces for less than $500
54,jewelry,birthday bracelet for her in rose gold or white gold $400,wedding rings more than $500
55,jewelry,24k Gold Chain with cross and engraving,24k Gold Chain
57,jewelry,"White gold bracelet for man, with precious stones",gold bracelet less than $2000
58,jewelry,Wedding ring for him white gold $600,Diamond earrings less than $500
59,jewelry,"necklace matching ring, bracelet green color $220",bracelet gold color $125
60,jewelry,Is a great anniversary gift available?,Can I find an affordable wedding ring?
61,jewelry,cheap 24k gold diamond ring for anniversary,cheap pink diamond earrings
62,jewelry,"anniversary bracelet, $100, silver or gold, for her",wedding rings
63,jewelry,blue wedding band silver or gold $500,necklace greater than $1000
64,jewelry,anniversary ring for her silver or gold $150,wedding necklace less the $5000
65,jewelry,gold karat wedding ring for sale $1500,diamonds earrings for sale
66,jewelry,Wedding set white gold or platinum $1000,Diamond engagement ring
67,jewelry,bracelet for silver is less than $5000,wedding band less than $2000
68,jewelry,mother's ring with up to 4 stones $200,tennis bracelet with charms $200
69,jewelry,White Gold Earrings with Diamonds less than $1000,gold bracelet for him $75
70,jewelry,engagement ring gold $1000,silver earrings less than $100
71,jewelry,wedding ring gold $1000,wedding rings less than $500
72,jewelry,earings for kids silver or gold $50,earings less than $40
73,jewelry,anniversary band for her silver or gold $100,ring pink less than $100
74,jewelry,dam silver,Looking for a ring for about half that
75,jewelry,Princess cut diamond engagement ring $1200,14k Gold earrings $500
76,jewelry,Princess cut flawless diamond engagement ring with matching wedding band,single stone diamond earrings
77,jewelry,wedding ring combo for couples gold $300,necklace less than $1500
78,jewelry,birthday gift necklace for girls $25,bracelet more than $20 blue
79,jewelry,women's silver necklace and earing set under $200,earrings under $25
80,jewelry,24 karot gold rings with diamonds for wife,cheap earrings for $20
81,jewelry,Necklace for under $500 available in gold and silver,Gold necklaces less than $500
82,jewelry,necklace for her gold or platinum $ 300,bracelets less than $ 2000
83,jewelry,White gold ring necklace and bracelt matching set under $1000,White gold wedding bands
84,jewelry,New earing silver and gold combo $4000 at offfere price sale,kids bracelet in rainbow colors $3000
85,jewelry,Silver anniversary earrings for under $200,Gold bracelet around $250
86,jewelry,graduation necklace for her in gold $200,engagement rings less than $2000
87,jewelry,anniversary bracelet for her silver or gold $100,Jewelry gold less than $100
88,jewelry,Men's large 14 karat gold herringbone bracelet,Gold earrings $100-$200
89,jewelry,wedding gown in pure white with embellishments  under $200,simple wedding gown
90,jewelry,1CT Diamond Engagement ring 10K White golder under 5000,gold bracelet under $3000
91,jewelry,that shop offered Wedding combo deal for men is chain and bracelet for low price,jewelry weeding collections $50000
92,jewelry,do you have latest model for aaram jewellery,how much grams for bangles
93,jewelry,earring in gold with diamonds $500,beautiful necklace with red colour
94,jewelry,anniversary bracelet for her silver or gold $400,wedding rings less than $3000
95,jewelry,what typpe of ring this ?,bracelet price less than $500
96,jewelry,gold or silver earrings for a graduation gift,gold necklace for Mothers Day
97,jewelry,size 6 gold ring black star sapphire with Dimond chips,Dimond stud earrings
98,jewelry,birthday ring for him gold or platinum 300$,reception neck chain less than 900$
99,jewelry,"necklace$5000, ring $  1000,bracelet gold 10000","wedding band blue  $500, earring $1000"
100,jewelry,my birthday earning for her gold $600,necklace less than $30000
101,jewelry,"select type,price,color from jewelry where price=100 and color in ('silver','gold') and type='bracelet';","select type,price,color from jewelry where price < 1000 and type='ring'"
102,jewelry,Necklace for him gold or platinum 100$,Bracelet less than 75$
103,jewelry,"Single stone ring in Platinum,best designs,should be classy, price $2000",Platinum rings for wedding under $2000
104,jewelry,red and white ruby pearl ankle bracelet $5000 or more,gold earrings $125 or less
105,jewelry,"perfect, stylish, unique, love, special, fine, precious","affordable, wide range, budget, untraditional stones"
106,jewelry,"( [""anniversary"",""bracelet""] in category) and ((metal eq ""silver"") or (metal eq ""gold"")) and (gender eq ""F"") and (cost eq 100) and (currency eq ""USD"")","(type eq ""wedding ring"") and (cost lt 1000) and (currency eq ""USD"")"
107,jewelry,bjhbkjj,kkjjhh
108,jewelry,SELECT bracelet FROM Jewelry WHERE occasion=anniversary AND gender=female AND material=gold OR material=silver AND price=100,SELECT ring FROM Jewelry WHERE  occasion=wedding AND price<1000
109,jewelry,Festivel Necklace for $1000,birthday earing for gold $900
110,motorcycles,"Used Honda motorcycle use 16,000",Brand new Honda motorcycle 6000
111,motorcycles,bajaj dominar 2015 less than 110000 sale,honda motorcycle 750cc
112,motorcycles,USA made toyoto motorocycle 1500km less than 10000,toyoto motercycle 2010
113,motorcycles,bajaj 2017 <130k,honda 500 cc
115,motorcycles,baja truck lifted neon green 15000,Toyota Camry 1987
116,motorcycles,harley rode hog 2020 40000,harley motorcycles for her 500 cc
117,motorcycles,suzuki grand tourer 2018 less than 100000,bmw motorcycle 1200cc
118,motorcycles,Harley Davidson 2014 first owner 5000 km $4200,Harley Davidson 2014 first owner
119,motorcycles,Royal Enfield Classic 350 - 2016 less than 150000 sale,Suzuki GS 150 R - 2009
120,motorcycles,"2010 harley davidson less than 130,000 miles",harley davidson 2005
121,motorcycles,1983 Vespa less than $17000,2020 Harley Davidson under $25000
123,motorcycles,Black harley 2017 for sale $200,Red riding motorcycle
124,motorcycles,Can I find a good bike with very few miles at this sale?,Can you get me a bike that runs good for this brand?
125,motorcycles,ktm dominar 2020 less than 10000 sale,honda motorcycle 500cc
126,motorcycles,honda dominar 2016 less the 120000 sale,hero motorcycle 600cc
127,motorcycles,Honda motorcycle 500cc one owner 1200 miles,BMW streetglider 2015
128,motorcycles,honda motorcycle 2020 less than 14000 sale,Honda motorcycle 1000cc
129,motorcycles,Buel blast 2001 less than $2000,Buel Blast 500cc
130,motorcycles,what is difference between 2017 and 2020 model,how many colors do you have for this model
131,motorcycles,Black Honda Rebel 250 for sale,new red honda motorcycle
132,motorcycles,2020 Harley Davidson  less than 50000 500cc,2021 Harley Davidson
133,motorcycles,dodge charger 2011 no accidents,Ford truck 20MPG
134,motorcycles,Stone washed white pearl sportster S,2010 Harley Davidson
135,motorcycles,2012 Pontiac for sale 5000,lincoln mtz 2013
136,motorcycles,honda shine 2017 greater than 50000,bmw motorcycle 2005
137,motorcycles,2021 Harley Davidson cost under 500 km,Motorcycle average price
138,motorcycles,Harley Davidson 2017 Roadglide 6000 miles,Harley Davidson motorcycle
139,motorcycles,harley davidson 2020 less than 20000 sale first owner less than 10000 km,motorcycle less than 2000 sale 2015 or later
140,motorcycles,BMW R 1250 R 2019 less than 50000 sale,BMW motorcycle 500cc 2015
141,motorcycles,"bajaj dominar, less than 130000, 2017, sale",honda motorcycle 500cc
142,motorcycles,herohonda  1400000,tvs200cc
143,motorcycles,Indian used less than 100000 $10000,BMW  2022 new black
144,motorcycles,"2020 BMW motorcycle under 25,000 km good condition",2018 BMW  motorcycle
145,motorcycles,Suzuki Access 125 scooty 2019 model single owner 20000km driven $1000 sale,Toyota car 2020 model 2000km milage
146,motorcycles,2019 Ford F-150 XL less than 2000 sale,Hyundai Elantra 2021
147,motorcycles,Honda motorcyle 2017 under 130000km for sale,Motorcycle for sale
148,motorcycles,Harley Davidson Sportster 48 5000 2014 1 owner 6000km,Harley Davidson 1200cc
149,motorcycles,Wanted Bullet chrome 500 cc for less than 1 lakh rupees and less than 40000 km run,Used pulsar 220 for sale
150,motorcycles,vintage harley davidson only 1 owner,2010 yamaha
151,motorcycles,honda dominar 2018 less than 170000 sale,yamaha motorcycle 666cc
152,motorcycles,"select name,price,year,owner,km_driven from motorcycles where name='bajaj dominar 2017' and price < 130000;","select name,price from motorcycles where name='honda motorcycle 500cc';"
153,motorcycles,Ducati motorcycle used red $16k 150k miles,kawasaki motorcycle 750cc
154,motorcycles,"The Hero Passion Pro motorcycle with a price tag ranging between Rs. 70,375 to Rs. 75,100. 113 cc bs6 engine, the Hero Passion Pro blue colour for sale",Honda Activa 5g 60km/hr mileage
155,motorcycles,honda motorcycle 2019 less than 140000 sale,2000km driven motorcycle for $10000
156,motorcycles,2020 Honda cb500x for sale 5000$ 10000 miles,harley davidson under 2000$
157,motorcycles,Ducati 750 GT 1970 1200 km 500000,Harley-Davidson Street Glide 2020 1500 km
158,motorcycles,extremely poor marketing scheme,popular bike
159,motorcycles,harley davidson pan head less than 20000 kilometers,indian motorcycle 1970
160,motorcycles,Kawasaki Ninja 2017 less that 6000 used,Harley- Davidson motorcycle 2018
161,motorcycles,yguygug,jnjkjk
162,motorcycles,The all new Bajaj Dominar 400 is now available in India for Rs 1.36 lakh,"a confident newbie, or an intermediate rider like me."
163,motorcycles,Harley Davidson Electra Glide 2015 less than 100000 miles one owner,Yamaha motorcycle 2015
164,motorcycles,"Royalenfield 350cc 2019 model 1,25000INR","Royal Enfield 350cc price 1,90000INR 2019model owner name kaleeswaran 15,000km"
165,motorcycles,honda crusier 2020 less than 15000$,bajaj bike 600cc
166,motorcycles,"honda,125000,2020,120km",honda hornet 2.0 500cc
167,motorcycles,2015 honda shadow motorcycle blue and white,honda shadow motorcycle
168,motorcycles,Yamaha sport bike  YZF-R6 price of 12199 and 510 cc year 2019,Harley-Davidson motorcycle 1868 cc
0,car,honda 200k miles 15k,toyota 5000
1,car,"Honda sedan less than 300,000 miles and under $17000",toyota used under 7000
2,car,honda amaze 300000  $30000,maruthi under 10000
3,car,"Toyota 2020 less than 100,000 miles and black color",Honda black color
4,car,how much price for honda sedan model,who is manufacturer for this company
5,car,honda civics in texas for under $10000 from before 2010,tesla model s colors
6,car,Honda Pilot newer than 2020 and under $20000,Honda Pilot newer 2018
7,car,"2019 Ford F-150 Lariat less than 50,000 miles under $20000",Hyundai 2016 used under 2000
8,car,"Baleno 1.3 DELTA less than 300,000 miles and under $20000",Alto 800 VXI used under 5000
9,car,"Jeep Compass SUV 2012 or newer less than 50,000 miles",Jeep Compass 2015 or newer
10,car,"Accura CL 2007 white less then 100,000 miles",Honda used black
11,car,"jeep less than 50,000 miles and under $17000",ford new car under 10000
12,car,"2019 Black BMW sedan 6 cylinder 50,000 miles and under",2015 red Ford Edge
13,car,Used white or red Scorpio less than 60000 km less than Rs 500000 single owner,White Mahindra Scorpio year 2015
14,car,honda sedan manufacturing sector is very safty,toyota  car model fasionate
15,car,TVS company 2020 model ssingle owner black color at texas milage 200km,suzuki  car $8000 model 2018
16,car,"Honda sedan less than 200,000 miles under $15,000","Toyota used under 5,000"
17,car,Nissan altima 2010 5000 miles,Honda accord red
18,car,dodge RAM 250 black color 4wheel drive 4 cylinders 150K $12500,dodge RAM black color Colorado
19,car,"Red Jeep SUV under 50,000 miles newer than 2010",Ford used under 7000
20,car,Red Volvo SUV under $50000 with heated seats,silver SUV
21,car,red honda fit 2017 used under 100k miles,used lead like new
22,car,"2019 Ford F150 truck in arkansas under 100,000 miles","used car under 200,000 miles"
23,car,Tayota supra custom paint job 36000 miles barely used open to offers under $20000,Tayota supra 36000 miles V8 with rims
24,car,"Toyota less than 10,000 miles and under $10000",Toyata used under 7000
25,car,"Honda sedan less than 100,000 miles and under $13000",toyota used under 6000
27,car,Classic paint 1952 bel air fully restored engine anti-lock brakes,1986 cherry red mustang
28,car,"black Honda Civic 50,000 miles going for 10,000",2021 6-cylinder ford mustang
29,car,New 2022 Cadillac black V6 CA under $50000,New Nissan SUV
30,car,"2021 Dodge Ram less than 5,000 Miles under $35,000","Used Kia forte under 50,000 miles"
31,car,used vehicle with minimal mileage and low pricing,used vehicle for less than 5000
32,car,AUDI 2010 MODEL BLUE COLOR GOOD CONDITION,AUDI 2010 MODEL
33,car,"Toyota Camry brand new in red under $35,000",BMW new in white
34,car,"2018 red Corvette excellent condition less than 50,000 miles under $20000",2015 Mazda Miata under 80000 miles
35,car,black Audi a4 less than 20000 miles,Audi used under 4000
36,car,"New Toyota pickup 4x4 under 100,000 miles and preferably blue",new honda low mileage
37,car,"Honda sedan. Seats 5 people. Low mileage. And under $15,000",A toyota car that is used and has under 5000 miles
38,car,"red 1975 Dodge under 350,000 miles good condition in or near Reno Nevada",blue Mercedes in New York
39,car,Iphone 12 Apple128g Black,Iphone 12
40,car,nissan leaf electric used under $10000 new battery,honda new over 1000
41,computer science jobs,data science private 80-90k,data scientist
42,computer science jobs,"networking with bachlors $45k under 25,000 employees",$35k information tecnology start up
43,computer science jobs,data science job private company $77K or 88K in california,senior data scientist $89K alabama
44,computer science jobs,"high paying, west, senior, experience, career","career, south, experience, pay"
45,computer science jobs,is  there any healthcare sector,how much salary for business analyst
46,computer science jobs,Data Scientist Manager private company $70K in alabama,Business analyst $55K california
47,computer science jobs,Data Scientist manager salary and qualifications in Texas 100 employees,Business analyst qualifications
48,computer science jobs,Data scientist manager $80K Technology in Florida,business analyst $65K in Washington
49,computer science jobs,Mobile application developer seattle washington 100k with benifits,software engineer portland 90k
50,computer science jobs,Data Scientist Manager in Texas public company $90k bachelor’s degree,"Network Analyst $80,000 Dallas TX"
51,computer science jobs,Software developer jobs in USA paying 1000000 USD pa in Google or Amazon,Java programmer jobs
52,computer science jobs,senior data scientist qualified experience more than 20 years,need computer analyst manager
53,computer science jobs,"senior business analyst  at texas ,tech group of company $50k - $60k",data analyst in tech team califoornia
54,computer science jobs,Data science private company $80K or $90K in California,senior data scientist $74K Alabama
55,computer science jobs,senior data science program 85000 Texas,junior data analyst
56,computer science jobs,Senior Business Analyst 15 year experience $150k in New Brunswick,"business analyst, MS in IT, Google"
57,computer science jobs,web developer jobs over $80k full time remote,chicago software engineer jobs
58,computer science jobs,cybersecurity analyst high starting pay in CA,information security high-paying jobs
59,computer science jobs,business analyst job opening at microsoft with no experiance in Washington state with good salary,business analyst salary estimate arkansas
60,computer science jobs,Junior scientist position new york experience required in JAVA and C++ paying $36000 a year plus holiday,Junior data scientist position $36000 a year new york
61,computer science jobs,data scientist manager job private company $80k or $90k in america,data scientist manager  in midland for 20000$
63,computer science jobs,data scientist,analyst
64,computer science jobs,Business analyst for accounting firm must have 4 year degree and 5 years working experience salary negotiable,IT for health care collective must have 4 years experience
65,computer science jobs,Full Stack Engineer Master's Degree Government Sector in MO over $85K,Software Engineer $60000 AK
66,computer science jobs,Data analyst job private company $50k or $60k in Texas,Senior packing specialist $60K Texas
67,computer science jobs,Senior business analyst job private sector $100K to $120K located out of Washington,Executive data manager $60K kansas
68,computer science jobs,Data Scientist Manager GOOD experience $80K or $90K in TEXAS,DATA  ANALYST JOBS
69,computer science jobs,Senior full-stack developer 15 years experience in finance industry $150k bay area,Junior programmer $80k Boston BS
70,computer science jobs,business analyst job private company $70k or  $80k,senior data manager at health care sector
71,computer science jobs,Senior business analyst $115k for Dallas Computing Firm,computer game developer Austin
72,computer science jobs,Private company seeking a canidate that pays 80k to 90a year. Must live in California,The job location is in Alabama. You would be a senior data scientist. The salary is bery good at 74K a year
73,computer science jobs,business analyst for health care company $60k to $75k range salary in oregon,health care business analyst oregon
74,computer science jobs,Master Programmer for growing software company at least 8 years experience $150k per year good benefits in Houston Texas,Software Engineer $75000 Salary in Lisbon
75,computer science jobs,entry level data assistant R Excel Tableau $45k Chicago area,entry level data assistant $45k Chicago
77,furniture,new kitchen bar stool brown 122 by 156 meters,kitchen cabinet mahogany or pista
78,furniture,extravagant custom cabinets for entire house,small affordable bathroom cabinet
79,furniture,how many cubboards in the kitchen,what wood for using these furniture
80,furniture,"SELECT bar stool FROM furniture WHERE kitchen, AND Color= brown AND size 111 by 146m",SELECT  cabinet from furniture where material=mahogany or walnut
81,furniture,Bar tables brown contemporary style length 45 Inches,Kitchen wood Bar cabinet
82,furniture,red and black Bar furniture set under 1000$,Beds for sale
83,furniture,gently used oak wood table and chairs set,bed
84,furniture,Dinning table and chairs oak under $750,night stand $150
85,furniture,"California King sized platform bed frame, weathered gray with built in  storage",black chair
86,furniture,New queen bed mahogany 1 meter height $1000 or less,Black sofa $500 and under
87,furniture,Rosewood or ebony king size bed with purchase papers and below 10000 pounds,Rosewood chairs
88,furniture,modular kitchen set very low cost in California city,brought now modular kitchen
89,furniture,KITCHEN DINING SET WITH  TABLE AND 6 CHAIRS 4FEET HIGH &44,SOFA $50ROYAL BLUE COLOR
90,furniture,Fireplace with red brick 4 by 4,Night stand black or white
91,furniture,used cedar chest 1800s drawers,love seat velvet
92,furniture,cocobolo wood office table 3 ft by 5 ft light brown finish,king size mattress $65
93,furniture,111by146meters,walnut
94,furniture,new bookshelf black with drawers 5 feet tall,brown recliner chairs
95,furniture,used twin wooden bed frame price,full sized bed frame
96,furniture,new white and black beds at $100 111by 120 meters,pink bed at $1000
98,furniture,NEW KITCHEN BAR STOOL BROWN 111 BY 10 METERS,KITCHEN CABINET WALNUT
99,furniture,Blue cloth 3 seat sofa 56 inches long,3 shelf cherry book case
100,furniture,"Black nightstand no more than 26"" W between $25 to $45",black nightstand under $45
101,furniture,New living room couch grey 95 by 95 inches,Bed dimensions for guest room
102,furniture,SOFA 4 SEATER UNDER 10000 BLUE COLOR,SOFA UNDER 6000
103,furniture,Master Bedroom Dresser with Mirror black with silver,dresser black with mirror
104,furniture,New black genuine leather sofa less than 7 feet under $400,Bunkbed under $250
105,furniture,new chair black or white $50 or $60,beds gray or white
