,category,query,cleaned_query
197,computer science jobs,Dallas data analyst $85k MBA required has 401k,dalla data analyst mba requir
198,computer science jobs,Can the company offer a 401k?,compani offer
199,computer science jobs,masters degree google el paso database administrator 120k,master degre googl el paso databas administr
200,computer science jobs,"Analyst, 50k-70k, four year degree, one years experience, New York,, medium sized company, Social Sevices",analyst year degre year experi new york medium size compani social sevic
201,computer science jobs,data science,data scienc
202,computer science jobs,entry level data analyst government local $50k chicago,entri level data analyst govern local chicago
203,furniture,New closed kitchen sink,new close kitchen sink
204,furniture,Bar Stool,bar stool
205,furniture,"category = ""beds""  and price > 200$",categori bed price
206,furniture,never been used queen mattress pillow top,queen mattress pillow
207,furniture,new kitchen bar stool brown 111 by 164 meters,new kitchen bar stool brown meter
208,furniture,used blue 10 by 14 inches desk mahogany,blue inch desk mahogani
209,furniture,Eames Lounge Chair and Ottoman Standard with Pearl leather upholstery,eam loung chair ottoman standard pearl leather upholsteri
210,furniture,sofa couch black two seater recline,sofa couch black seater reclin
211,furniture,tv stand in brown or black 5 foot in height 10 foot in width,tv stand brown black foot height foot width
212,furniture,"material, durability, shape, price, dimension.",materi durabl shape price dimens
213,furniture,oak dresser under 11x7 feet under 2000 dark brown,oak dresser feet dark brown
214,furniture,gray tufted 6 seater sectional sofa,gray tuft seater section sofa
215,furniture,New Kitchen Island Marble 2m by 1m,new kitchen island marbl
216,furniture,king size bed teak 7x7,king size bed teak
217,furniture,Kitchen table seats 8 walnut stained natural wood,kitchen tabl seat walnut stain natur wood
218,furniture,dining table brown 200 by 500 meters $100,dine tabl brown meter
219,furniture,white wooden bedroom bed 110 by 220,white wooden bedroom bed
220,car,2015 Honda Pilot Silver or Grey with leather seats,honda pilot silver grey leather seat
221,car,"Ford sedan less than 150,000 miles and under $20000",ford sedan mile
222,car,Black Ford Mustang in GA,black ford mustang ga
223,car,"honda sedan less than 200,000 miles and under $15000",honda sedan mile
224,car,"Tata Nano Mumbai area less than 55,000 km red color",tata nano mumbai area km red color
225,car,"Jeep USV new less than 10,000 miles under $ 10000",jeep usv new mile
226,car,"Honda sedan less than 300,000 miles and under $20000",honda sedan mile
227,car,16000,
228,car,honda 200k miles <15000k,honda mile
229,car,toyota SUV less than 5000 miles and under $50000,toyota suv mile
230,computer science jobs,senior computer programmer job private company $90K to $120K in new york,senior comput programm job privat compani new york
231,computer science jobs,business analyst job government &120K or $130K in illinois,busi analyst job govern illinoi
232,computer science jobs,Senior programmer for health care provider in Dallas Masters degree required,senior programm health care provid dalla master degre requir
233,computer science jobs,data science job private company$80K or $90K in california,data scienc job privat california
234,computer science jobs,Business analyst $45k per year computer science bachelor Navi mumbai,busi analyst year comput scienc bachelor navi mumbai
235,computer science jobs,data entry operator private company $80k or $90k in washington,data entri oper privat compani washington
236,computer science jobs,data science job private company $88 K or $99K in california,data scienc job privat compani k california
237,computer science jobs,Nurse with 4 year degree $60k to $80k salary in colorado,nurs year degre salari colorado
238,computer science jobs,data science private 80 to 90 k,data scienc privat k
239,computer science jobs,The degree must be post graduate and also need to have years of experience,degre post graduat need year experi
240,furniture,new kitchen bar stool brown 122 by 156 meters,new kitchen bar stool brown meter
241,furniture,146,
242,furniture,queen size bed white metal frame under 500 dollars,queen size bed white metal frame dollar
243,furniture,Kitchen cupboard with mat finish 2 foot wide,kitchen cupboard mat finish foot wide
244,furniture,dining table with 8 chairs no longer than 8 feet long under 1000 with free delivery,dine tabl chair longer feet long free deliveri
245,furniture,New brown wooden dining room table chair,new brown wooden dine room tabl chair
246,furniture,kitchen bar stool,kitchen bar stool
247,furniture,new bedroom nightstand glass top 36 to 45 inches tall,new bedroom nightstand glass inch tall
248,housing,"Single family home with 4 BDR, 2 BATH, 2-car garage in Los Angeles, CA for $790,000 built in 1990",singl famili home bdr bath garag lo angel built
249,housing,rent to own single family home in barboursville,rent singl famili home barboursvil
250,housing,1650 sq. feet building available for rental 10000 per month,sq feet build avail rental month
251,housing,house with 3 bed 2 bath 1000 per month or less with attached garage in rural area,hous bed bath month attach garag rural area
252,housing,16000,
253,housing,Sydney apartment 2 bedrooms 2 bathrooms car (yes),sydney apart bedroom bathroom car ye
254,housing,vienna apartment in the city center with 2 bedrooms and 1 bathroom,vienna apart citi center bedroom bathroom
255,housing,melbourne apartment close to city center built after 1980 with 3 bathrooms,melbourn apart close citi center built bathroom
256,jewelry,necklace $400,necklac
257,jewelry,Used wedding rings 3500,wed ring
258,jewelry,ruby encrusted gold necklace for 2000$,rubi encrust gold necklac
259,jewelry,Anniversary ring for him gold or silver $500,anniversari ring gold silver
260,jewelry,200,
261,jewelry,anniversary chain for her silver or gold $300,anniversari chain silver gold
262,jewelry,Clip-on Diamond Earrings for girls less than $200,clip diamond ear girl
263,jewelry,Silver Wedding Ring with Diamonds for Under $1000,silver wed ring diamond
264,jewelry,Matching wedding sets for him and her $1000 rosegold,match wed set rosegold
265,jewelry,gold or silver anniversary bracelet under $100,gold silver anniversari bracelet
266,jewelry,"Silver necklace for $750 on sale from $999 that is 16"" long.",silver necklac sale long
267,jewelry,silver cross necklace between $75 and $150,silver cross necklac
268,motorcycles,"2007 honda shadow 1.0L less than 3,000 miles with one owner and under $1,000",honda shadow mile owner
269,motorcycles,honda 260000,honda
270,motorcycles,duster 2020 4x4 drive,duster drive
271,motorcycles,Suzuki katana 2018 new or used under 15000,suzuki katana new
272,motorcycles,ktm dominar 2020 less than 40000sale,ktm dominar
273,motorcycles,honda dominar 2017 less than 140000 sale,honda dominar sale
274,motorcycles,"The 2021 Suzuki Boulevard M109R B.O.S.S COSTS UPTO $15,249 near Daytona Beach, FL.",suzuki boulevard b cost upto near daytona beach fl
275,motorcycles,100000,
276,motorcycles,honda motorcycle have good reputation compared with other motorcycles in part 30years,honda motorcycl good reput compar motorcycl
277,motorcycles,2021 Harley Davidson Road King on sale,harley davidson road king sale
278,motorcycles,Used honda 2000,honda
279,motorcycles,"1970 Honda RedWing motorcycle with 9000 KM, one owner for $6,500",honda redw motorcycl km owner
280,motorcycles,"Bajaj Dominar 400 2017 less than 77,000 sale",bajaj dominar sale
281,car,$70000 in the 1990s but can be had for less than $90 a month now,month
282,car,"Ford Mustang less than 150,000 miles and cost $10,000",ford mustang mile cost
283,car,"Honda sedan less than 300,000 miles and under $20000",honda sedan mile
284,car,"bmw less than 200,000miles and under $20000",bmw
285,car,The price of model 2017 blue toyota was $20000 in TX.,price model blue toyota tx
286,car,honda 200k miles under $15000,honda mile
287,car,"BMW used from at least 2005 in blue for less than 100,000",bmw blue
288,car,"Ford SUV under $50,000 but under 150,000 miles",ford suv mile
289,car,Toyota SUV 6 cylinders and under $20000,toyota suv cylind
290,car,bmw less than 300000 miles under $20000,bmw mile
291,car,"Used petrol Citroen city car, manual transmission and under  £5000",petrol citroen citi car manual transmiss
292,car,black jeep cherokee 2017 under $20000,black jeep cheroke
293,car,"cylinders, fuel, odometer, transmission, type, paint_color, state",cylind fuel odomet transmiss type state
294,car,"black honda civic less than 5 years old, for around £12,000",black honda civic year old
295,car,Toyota truck 2002 white used,toyota truck white
296,car,One owner SUV used well-maintained blue no damage,owner suv maintain blue damag
297,car,what type of music system in this model,type music system model
298,car,"Used Honda Sedan, Los Angeles, Automatic Transmission, Clean title, less than 200,000 miles",honda sedan lo angel automat transmiss clean titl mile
299,car,Kia sedan new under $36k,kia sedan new
300,car,The transmission and the type is too expensive and the cylinder works so perfect,transmiss type expens cylind work perfect
301,computer science jobs,senior scientist company $60k or $ 70k in pasadena,senior scientist compani pasadena
302,computer science jobs,data science job private company $89K or $90K in california,data scienc job privat compani california
303,computer science jobs,what is the nature work for Data Scientist Manager,natur work data scientist manag
304,computer science jobs,data science private 80-90k,data scienc privat
305,computer science jobs,We suspect that a scarcity of resources trained in the newer open source tools creates demand that bids up salaries compared to the more mature commercial cluster tools.,suspect scarciti resourc train newer open sourc tool creat demand bid salari compar matur commerci cluster tool
306,computer science jobs,senior scientist job private company in california,senior scientist job privat compani california
307,computer science jobs,Job title (Data Science) Salary Estimate yearly 102K Qualifications (bachelor's Degree 3-5 Year's experience Company name Code3 Sacramento California global employees 225 founded in 2010,job titl data scienc salari estim yearli qualif bachelor degre year experi compani sacramento california global employe found
308,computer science jobs,The data scientist manager in private company should have experience of 5-6 years with the estimated salary of $85K in Texas.,data scientist manag privat compani experi year estim salari texa
309,computer science jobs,Data Scientist Manager Master's degree in Southern California Healthcare,data scientist manag master degre southern california healthcar
310,computer science jobs,"scientist job location is NY, salary range is $100,000-$150,000, founded in 2002",scientist job locat ny salari rang found
311,computer science jobs,data science job is google company salary $80k,data scienc job googl compani salari
312,computer science jobs,Programmer analyst 10 years experience starting at $81K minimum MSc with 15 years experience in Washington,programm analyst year experi start minimum msc year experi washington
313,computer science jobs,"Data science manager, private company , $45K, New York, engines",data scienc manag privat compani new york engin
314,computer science jobs,"Senior Data Scientist Job, Private Company, Masters Degree, 90k or 100k in Arizona",senior data scientist job privat compani master degre arizona
315,computer science jobs,computer engineer helpdesk military security online router,comput engin helpdesk militari secur onlin router
316,furniture,is this modular or traditional kitchen,modular tradit kitchen
317,furniture,Antique master bedroom side table maple wood,antiqu master bedroom tabl mapl wood
318,furniture,what survey future plane and ideas,survey futur plane idea
319,furniture,new sofa is wonderfull furniture,new sofa wonderful furnitur
320,furniture,"new kitchen dining table solid brown 48"" L x 30"" D x 29"" H",new kitchen dine tabl solid brown l x x h
321,furniture,The price of pink bed in Texas was $1500 with dimensions of 100 by 150m,price pink bed texa dimens
322,furniture,new couch brown 7 ft long,new couch brown ft long
323,furniture,new extending wooden table 1x3 meters green or white under $1000,new extend wooden tabl meter green white
324,furniture,New or used bookshelf wood metal dark brown,new bookshelf wood metal dark brown
325,furniture,Stools by Emeco,stool emeco
326,furniture,Brand new kitchen table in pine with full matching chair set with blue upholstery.,brand new kitchen tabl pine match chair set blue upholsteri
327,furniture,"New Kitchen Bar Stool, Black, Wood, 35 in by 37 in",new kitchen bar stool black wood
328,furniture,new kitchen bar stool brown 333 by 176 meters,new kitchen bar stool brown meter
329,furniture,kitchen table walnut under $50 45 by 32 inches,kitchen tabl walnut inch
330,furniture,pink colour bed 217 by 150mts,pink colour bed
331,furniture,used three seater sofa black armless 15 by 5 feet,seater sofa black armless feet
332,car,"Honda Accord EX 1997 less than 138,000 miles single owner A/C less than $2000",honda accord ex mile singl owner c
333,car,fiat 500 soprta i 6000,fiat soprta
334,car,"Toyota more than 300,000 miles and upper $2000",toyota mile upper
335,car,"White Toyota Corolla under $15000 used less than 50,000 miles",white toyota corolla mile
336,car,honda sedan under $15000,honda sedan
337,car,new Prius less than 250k miles blue or green in California,new priu mile blue green california
338,car,Honda SUV manual less than 75000 miles under $15000,honda suv manual mile
339,computer science jobs,"Linux system administrator level 2 position private company $32K starting Houston, Texas",linux system administr level posit privat compani start houston texa
340,computer science jobs,fiat 500 sopra i 6000,fiat sopra
341,computer science jobs,senior data scientist job private company $70k or $80 k in alabama,senior data scientist job privat compani k alabama
342,computer science jobs,Sofatware Developing Job private $100k  Seniority level in Atlanta,sofatwar develop job privat senior level atlanta
343,computer science jobs,data science job public $80k or $90k in Washington,data scienc job public washington
344,computer science jobs,Data Scientist Manager private  job in IT sector  of $90K salary requires 15+ year experience,data scientist manag privat job sector salari requir year experi
345,computer science jobs,Healthcare Data Scientist Manager Indiana $80K 5 years experience,healthcar data scientist manag indiana year experi
346,computer science jobs,Research assistant medical Indiana bachelor's degree 70k,research assist medic indiana bachelor degre
347,computer science jobs,Senior Technical Artist 3+ years experience Facebook gaming in Silicon Valley $100K+,senior technic artist year experi facebook game silicon valley
348,furniture,6 drawer bedroom dresser light color 32 by 68 inches,drawer bedroom dresser light color inch
349,furniture,fiat 500 sopra i 6000,fiat sopra
350,furniture,used student desk white pine 4 by 7 ft,student desk white pine ft
351,furniture,tall bar stool brown,tall bar stool brown
352,furniture,What is the dimensions of the new kitchen bar and the MOc?,dimens new kitchen bar moc
353,furniture,red cedar or maple rocking chair under $1300 2 meters height,red cedar mapl rock chair meter height
354,furniture,Tall dark real wooden bookcase over 1.5m tall with at least 6 shelves for under $1000,tall dark real wooden bookcas tall shelv
355,housing,Alexandria no parking spot townhouse pets yes no dogs no cats,alexandria park spot townhous pet ye dog cat
356,housing,suburb Single family 4 bedroom 2.5 bath car (yes),suburb singl famili bedroom bath car ye
357,housing,"3 bed, 1 bathroom, semi-detached house in kent with garden and off street parking",bed bathroom semi detach hous kent garden street park
358,housing,melbourne apartment open to city center built before 1980 with 2 bathroooms,melbourn apart open citi center built bathrooom
359,housing,New york high rise apartment studio with view only 1200 a month rent,new york high rise apart studio view month rent
360,housing,"Longview Washington Tudor Home $500,000 or over 5 bedroom 3 bathroom built after 2000",longview washington tudor home bedroom bathroom built
361,housing,Pet-friendly Chicago apartment less than 3500 per month with 2 bedrooms,pet friendli chicago apart month bedroom
362,housing,hobbs apartment close to city center built after 1980 with 3 bathrooms,hobb apart close citi center built bathroom
363,housing,off campus 4 bedroom 2 bath house with 2 car garage,campu bedroom bath hous car garag
364,housing,The building available sqr. feet 1650 3 bedrooms,build avail sqr feet bedroom
365,housing,car parking is yes or not,car park ye
366,jewelry,men's sterling silver wedding band with onyx,men sterl silver wed band onyx
367,jewelry,Wedding band with diamond stone 9crt $5000,wed band diamond stone
368,jewelry,matched vintage gold weddings bands over $500,match vintag gold wed band
369,jewelry,Short diamond necklace with silver chain less than $1000 for anniversary,short diamond necklac silver chain anniversari
370,jewelry,Pure gold earring with a pendant and a matching pattern necklace,pure gold ear pendant match pattern necklac
371,jewelry,"The price of platinum round cable chain 3.88mm was $1,800 in Porcello's Jeweler.",price platinum round cabl chain porcello jewel
372,jewelry,24ct gold hoops earrings for her $450,gold hoop ear
373,jewelry,24 karat diamond ring worth millions,karat diamond ring worth million
374,jewelry,ancient amulet probably no curses,ancient amulet probabl curs
375,jewelry,ring,ring
376,jewelry,wedding bracelet for him silver or gold $200,wed bracelet silver gold
377,jewelry,anniversary rings for her silver or gold $400,anniversari ring silver gold
378,jewelry,Diamond wedding ring for women costing 1 million USD,diamond wed ring women cost million usd
379,jewelry,any guarantee for neclace,guarante neclac
380,jewelry,24k gold and 10k plated gold post earrings $200,gold plate gold post ear
381,jewelry,ruby gold diamond and emerald watch for him $3500 or under,rubi gold diamond emerald watch
382,jewelry,"Ladies, engagement ring, white gold with diamonds, under £1500, Brand New",ladi engag ring white gold diamond brand new
383,motorcycles,Engine: 999 cc (61.0 cu in) liquid-cooled 4-stroke 16-valve DOHC inline-four,engin cc cu liquid cool dohc inlin
384,motorcycles,Used 5000 honda,honda
385,motorcycles,Ducati custom low miles price negotiable,ducati custom low mile price negoti
386,motorcycles,YAMAHA dominar less than 120000 sale,yamaha dominar sale
387,motorcycles,1940s Indian chief motorcycle original blue and chrome,indian chief motorcycl origin blue chrome
388,motorcycles,Bmw Explorer 2020 with cases 80000 miles sale,bmw explor case mile sale
389,motorcycles,bejaj dominar 2017 less than 130000 sale,bejaj dominar sale
390,motorcycles,"ducati xdiavel 2018 less than 20,000 sale",ducati xdiavel sale
391,motorcycles,"manufacturer year, performance, price, model name, km",manufactur year perform price model km
392,motorcycles,honda motorcycle   56 km driven,honda motorcycl km driven
393,motorcycles,new model or old model is this,new model old model
394,motorcycles,"Honda CRF, 1000cc, less than 30000, black, 2016+",honda crf black
395,motorcycles,BMW R nine T pure 2019 less than 140000 sale,bmw r pure sale
396,motorcycles,Hayabusa in red color done less than 10000 km and below 10000 USD,hayabusa red color km usd
397,motorcycles,2018 honda motorcycle one owner $40000 or less with 20000 km or less,honda motorcycl owner km
398,motorcycles,honda dominar 2017 less than 150000 sale,honda dominar sale
399,motorcycles,less than 126870 sale,sale
400,housing,brooklyn loft no roommates disinterested neighbors,brooklyn loft roommat disinterest neighbor
401,housing,"Everett Washington townhouse $500,000 or under 3 bedroom 2 bathroom at least 7 rooms",everett washington townhous bedroom bathroom room
402,housing,near an airport apartment built in 1992 9000 per month with single bedroom and a bathroom,near airport apart built month singl bedroom bathroom
403,housing,"Southwark,  Newington, 5 rooms, apartment built in the 1968 , with 2 bedrooms and two bathrooms",southwark newington room apart built bedroom bathroom
404,housing,city apartment close to shopping center newly remodeled with 1 bedroom,citi apart close shop center newli remodel bedroom
405,housing,how many rooms in this house,room hous
406,housing,Dallas apartmemt oak cliff neighborhood with 2 bedrooms 1 bathroom built after 2000,dalla apartmemt oak cliff neighborhood bedroom bathroom built
407,housing,1 bedroom apt pets allowed within 20 miles of Washington D.C. area,bedroom apt pet allow mile washington c area
408,housing,"New build, 1 Bed flat in London, under £1000 per month, close to train station",new build bed flat london month close train station
409,housing,1970s era house with 5 bedrooms and 3 bathrooms with a car 5000 per month,era hous bedroom bathroom car month
410,jewelry,Mothers day necklace with purple gemstones and gold $1000,mother day necklac purpl gemston gold
411,jewelry,Valentine necklace for her rose gold or gold $150,valentin necklac rose gold gold
412,jewelry,"Childs, Crucifix necklace on gold chain, silver or gold, less than £50, Brand new",child crucifix necklac gold chain silver gold brand new
413,jewelry,how many jewellery set do you have,jewelleri set
414,jewelry,The world leader in ethically sourced jewelry. Discover the Brilliant Earth difference. We offer both in-person and virtual appointments to help you find the perfect ring. Lifetime Warranty. Find Your Ring Size. Ethical Fine Jewelry. Recycled Precious Metals.,world leader ethic sourc jewelri discov brilliant earth differ offer person virtual appoint help find perfect ring lifetim warranti find ring size ethic fine jewelri recycl preciou metal
415,jewelry,pink diamond necklace and bracelet set  real gold $2500 or over,pink diamond necklac bracelet set real gold
416,jewelry,Gold bracelet with white stone under $50,gold bracelet white stone
417,jewelry,For 100 or less I am looking for a nice bracelet as a gift for my wife,look nice bracelet gift wife
418,jewelry,wedding ring third try real gold,wed ring tri real gold
419,jewelry,ANNIVERSARY BRACELET FOR HER GOLD $1000,anniversari bracelet gold
420,motorcycles,Black Ducati low miles custom trim,black ducati low mile custom trim
421,motorcycles,Honda dominar 2020 more than 120000 sale,honda dominar sale
422,motorcycles,New honda motorcycle 2019 black less than 10000,new honda motorcycl black
423,motorcycles,how many kilometers per 1 litre,kilomet litr
424,motorcycles,"Harley Davidson Low Rider year  2000 or newer with under 20,000km on the clock at $5000 or under.",harley davidson low rider year newer clock
425,motorcycles,"Hero MotoCorp bikes - Hero Motocorp Ltd. Action, adventure, and excitement. It's time to #MakeNewTracks with the new #Xpulse2004V, made with a new 4 valve engine, more power, more torque and much more. #HeroMotoCorp",hero motocorp bike hero motocorp ltd action adventur excit time makenewtrack new new valv engin power torqu heromotocorp
426,motorcycles,yamaha 700 2015 less than 1500,yamaha
427,motorcycles,honda,honda
428,motorcycles,"Honda YBR, 2012, Red, 1 owner, less than 100000",honda ybr red owner
429,car,Honda sedan $15000,honda sedan
430,car,"ford crab less than 100,000 miles and under $16000",ford crab mile
431,car,Hoda sedan more than 10 colours and less than 10 colours,hoda sedan colour colour
432,car,black Subaru under 150000 miles used like new 2000 or later,black subaru mile like new later
433,car,how many milege for this model,mileg model
434,car,light grey honda pilot all wheel drive 2010 - 2015,light grey honda pilot wheel drive
435,computer science jobs,Data Analyst Remote Contract $50k evening shift,data analyst remot contract even shift
436,computer science jobs,Data Scientist Manager Microsoft $140K 5 years experience in Paris France,data scientist manag microsoft year experi pari franc
437,computer science jobs,what is the nature of work for  Data Scientist Manager,natur work data scientist manag
438,computer science jobs,data science job private company $100K or $150K in newyork,data scienc job privat compani newyork
439,furniture,queen size bed with pink metal frame and pink or white vanity under $2500,queen size bed pink metal frame pink white vaniti
440,furniture,"new shower , 120 $, 70 by 120 meters, porcelain",new shower meter porcelain
441,furniture,is there double or single bed,doubl singl bed
442,furniture,oak queen bed blonde stain headboard and footboard,oak queen bed blond stain headboard footboard
443,furniture,New matress queen size and must have 7 inch memory foam matteress with cooling gEL and oak stands,new matress queen size inch memori foam matteress cool gel oak stand
444,housing,Chicago area house under 200k built after 2010 3 bath,chicago area hous built bath
445,housing,Sydney four bedroom two bath house,sydney bedroom bath hous
446,housing,plano apartment close to city center built after 1980 with 2 bathroooms,plano apart close citi center built bathrooom
447,housing,melbourne city center 2 bedrooms,melbourn citi center bedroom
448,housing,Two bedroom two bath apartment new bill 1300 a month,bedroom bath apart new bill month
449,housing,Luxury house with 3 bedrooms and 2 baths $20000,luxuri hous bedroom bath
450,housing,4 bedroom 2 bath family home $500k Springfield suburbs,bedroom bath famili home springfield suburb
451,housing,"East Rochester duplex two beds, two bath $1500",east rochest duplex bed bath
452,housing,"golden co duplex, yard, garage and 2 bathrooms less than 3000",golden co duplex yard garag bathroom
453,housing,Where is the closest apartment to the shopping center?,closest apart shop center
454,housing,boston apartment 4 bedroom 4 bathroom built after 1960,boston apart bedroom bathroom built
455,housing,downtown Bridgeport 3 bedroom house 10 years old $250000,downtown bridgeport bedroom hous year old
456,housing,Dallas house less than 40 mile commute built after 2000 attached garage,dalla hous mile commut built attach garag
457,housing,"home, family, roomy, centered, modern",home famili roomi center modern
458,housing,san bernardino studio apt close to airport 1 person,san bernardino studio apt close airport person
459,housing,housing built after 1975 with 4 bedrooms 2 bathrooms,hous built bedroom bathroom
460,housing,bridgeview apartments close to mall 2 bedroom,bridgeview apart close mall bedroom
461,housing,Palmdale apartment close to antelope valley mall 3 bedroom,palmdal apart close antelop valley mall bedroom
462,housing,what is the nearest landmark for this apartment,nearest landmark apart
463,housing,"melbourne, close to city center, apartment, 2 bathrooms, built after 1980",melbourn close citi center apart bathroom built
464,housing,city center with 3 bedrooms,citi center bedroom
465,housing,san francisco near university built after 2000 3 bathrooms,san francisco near univers built bathroom
466,housing,melbourne apartment close to city center built after 1989 with 3 bathrooms,melbourn apart close citi center built bathroom
467,housing,Newer studio apartment in business district under $1500 a month,newer studio apart busi district month
468,housing,"oak park or chicago apartment near lake avenue, 2016 or newer, with 2 or 3 bedrooms.",oak park chicago apart near lake avenu newer bedroom
469,housing,2 bedroom 2 bath condo downtown not car dependent,bedroom bath condo downtown car depend
470,housing,melbourne apartment close to village center built befor 1985 with 1 bathroom,melbourn apart close villag center built befor bathroom
471,housing,old and beside a potentially loud busy old building,old potenti loud busi old build
472,housing,"Sevierville, house, close to town center,  built after 2000 with 4 bedrooms",seviervil hous close town center built bedroom
473,housing,"house should have  attached bathroom and much more,",hous attach bathroom
474,housing,Manhattan apartment near times square 2 bed 1 bath under $6000 month,manhattan apart near time squar bed bath month
475,housing,New house with 2bedrooms 1bathroom near to bussiness school  well developing city,new hous near bussi school develop citi
476,housing,3 bedroom 2 bath house with acreage built after 2000,bedroom bath hous acreag built
477,housing,Sheppard Avenue East apartment with 5 bedrooms,sheppard avenu east apart bedroom
478,housing,Looking to buy a large mansion and Estate of around  30 acres near London at less than 10 million pounds,look buy larg mansion estat acr near london million pound
479,housing,"new york apartment close to stores, 2 bedroom, 1 bathroom, with car garage",new york apart close store bedroom bathroom car garag
480,housing,Washington D.C. mansion near 1600 Pennsylvania Avenue built in 1800sat least 4 bedrooms and at least 3 bathrooms,washington c mansion near pennsylvania avenu built bedroom bathroom
481,housing,jnkjhjg,jnkjhjg
482,housing,AFTER 1990 WITH 3 BATHROOMS,bathroom
483,housing,Alexan CityCentre apartments now leasing,alexan citycentr apart leas
484,housing,single family home 3 bedroom with garage in east school district,singl famili home bedroom garag east school district
485,housing,"Apartment near Monash University,bulit in  early 2000's with single bedroom and two bathrooms,high-rise apartment with beautiful view",apart near monash univers bulit earli singl bedroom bathroom high rise apart beauti view
486,housing,apartment built in less than 2 years with  bed room and 2 bathrooms per month $9000,apart built year bed room bathroom month
487,jewelry,simple necklace unisex gold $300,simpl necklac unisex gold
488,jewelry,New anniversary rings gold 300,new anniversari ring gold
489,jewelry,bracelet silver or gold 100,bracelet silver gold
490,jewelry,Limited edition cubic ring $7000,limit edit cubic ring
491,jewelry,Wedding rings diamonds 1ct white gold $2000,wed ring diamond white gold
492,jewelry,promise ring for her silver $100,promis ring silver
493,jewelry,rose gold anklets for her $200,rose gold anklet
494,jewelry,birthday bracelet for her in rose gold or white gold $400,birthday bracelet rose gold white gold
495,jewelry,24k Gold Chain with cross and engraving,gold chain cross engrav
496,jewelry,"White gold bracelet for man, with precious stones",white gold bracelet man preciou stone
497,jewelry,Wedding ring for him white gold $600,wed ring white gold
498,jewelry,"necklace matching ring, bracelet green color $220",necklac match ring bracelet green color
499,jewelry,Is a great anniversary gift available?,great anniversari gift avail
500,jewelry,cheap 24k gold diamond ring for anniversary,cheap gold diamond ring anniversari
501,jewelry,"anniversary bracelet, $100, silver or gold, for her",anniversari bracelet silver gold
502,jewelry,blue wedding band silver or gold $500,blue wed band silver gold
503,jewelry,anniversary ring for her silver or gold $150,anniversari ring silver gold
504,jewelry,gold karat wedding ring for sale $1500,gold karat wed ring sale
505,jewelry,Wedding set white gold or platinum $1000,wed set white gold platinum
506,jewelry,bracelet for silver is less than $5000,bracelet silver
507,jewelry,mother's ring with up to 4 stones $200,mother ring stone
508,jewelry,White Gold Earrings with Diamonds less than $1000,white gold ear diamond
509,jewelry,engagement ring gold $1000,engag ring gold
510,jewelry,wedding ring gold $1000,wed ring gold
511,jewelry,earings for kids silver or gold $50,ear kid silver gold
512,jewelry,anniversary band for her silver or gold $100,anniversari band silver gold
513,jewelry,dam silver,dam silver
514,jewelry,Princess cut diamond engagement ring $1200,princess cut diamond engag ring
515,jewelry,Princess cut flawless diamond engagement ring with matching wedding band,princess cut flawless diamond engag ring match wed band
516,jewelry,wedding ring combo for couples gold $300,wed ring combo coupl gold
517,jewelry,birthday gift necklace for girls $25,birthday gift necklac girl
518,jewelry,women's silver necklace and earing set under $200,women silver necklac ear set
519,jewelry,24 karot gold rings with diamonds for wife,karot gold ring diamond wife
520,jewelry,Necklace for under $500 available in gold and silver,necklac avail gold silver
521,jewelry,necklace for her gold or platinum $ 300,necklac gold platinum
522,jewelry,White gold ring necklace and bracelt matching set under $1000,white gold ring necklac bracelt match set
523,jewelry,New earing silver and gold combo $4000 at offfere price sale,new ear silver gold combo offfer price sale
524,jewelry,Silver anniversary earrings for under $200,silver anniversari ear
525,jewelry,graduation necklace for her in gold $200,graduat necklac gold
526,jewelry,anniversary bracelet for her silver or gold $100,anniversari bracelet silver gold
527,jewelry,Men's large 14 karat gold herringbone bracelet,men larg karat gold herringbon bracelet
528,jewelry,wedding gown in pure white with embellishments  under $200,wed gown pure white embellish
529,jewelry,1CT Diamond Engagement ring 10K White golder under 5000,diamond engag ring white golder
530,jewelry,that shop offered Wedding combo deal for men is chain and bracelet for low price,shop offer wed combo deal men chain bracelet low price
531,jewelry,do you have latest model for aaram jewellery,latest model aaram jewelleri
532,jewelry,earring in gold with diamonds $500,ear gold diamond
533,jewelry,anniversary bracelet for her silver or gold $400,anniversari bracelet silver gold
534,jewelry,what typpe of ring this ?,typp ring
535,jewelry,gold or silver earrings for a graduation gift,gold silver ear graduat gift
536,jewelry,size 6 gold ring black star sapphire with Dimond chips,size gold ring black star sapphir dimond chip
537,jewelry,birthday ring for him gold or platinum 300$,birthday ring gold platinum
538,jewelry,"necklace$5000, ring $  1000,bracelet gold 10000",ring gold
539,jewelry,my birthday earning for her gold $600,birthday earn gold
540,jewelry,"select type,price,color from jewelry where price=100 and color in ('silver','gold') and type='bracelet';",select type price color jewelri color silver gold bracelet
541,jewelry,Necklace for him gold or platinum 100$,necklac gold platinum
542,jewelry,"Single stone ring in Platinum,best designs,should be classy, price $2000",singl stone ring platinum best design classi price
543,jewelry,red and white ruby pearl ankle bracelet $5000 or more,red white rubi pearl ankl bracelet
544,jewelry,"perfect, stylish, unique, love, special, fine, precious",perfect stylish uniqu love special fine preciou
